# BUSCO version is: 5.4.2 
# The lineage dataset is: arthropoda_odb10 (Creation date: 2020-09-10, number of genomes: 90, number of BUSCOs: 1013)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
9647at6656	Complete	AgamP4_3R:4850247-4856762	1255.6	1165	https://www.orthodb.org/v10?query=9647at6656	integrator complex subunit 1
9648at6656	Complete	AgamP4_X:6848269-6860562	1105.6	996	https://www.orthodb.org/v10?query=9648at6656	anaphase-promoting complex subunit 1
10240at6656	Complete	AgamP4_X:2018691-2026484	843.2	700	https://www.orthodb.org/v10?query=10240at6656	type I inositol 3,4-bisphosphate 4-phosphatase isoform X1
10573at6656	Complete	AgamP4_3R:6556908-6562366	943.1	1097	https://www.orthodb.org/v10?query=10573at6656	EGF-like calcium-binding, conserved site
11384at6656	Complete	AgamP4_3R:37498594-37501404	281.6	712	https://www.orthodb.org/v10?query=11384at6656	disheveled-associated activator of morphogenesis 1 isoform X1
12029at6656	Complete	AgamP4_2L:38859865-38866696	1393.3	825	https://www.orthodb.org/v10?query=12029at6656	FACT complex subunit spt16
12174at6656	Complete	AgamP4_2L:31840569-31873646	1272.3	1070	https://www.orthodb.org/v10?query=12174at6656	Mediator of RNA polymerase II transcription subunit 13
12383at6656	Complete	AgamP4_3L:38269592-38272910	1029.8	560	https://www.orthodb.org/v10?query=12383at6656	DNA excision repair protein haywire
12771at6656	Complete	AgamP4_X:18833750-18836630	691.0	660	https://www.orthodb.org/v10?query=12771at6656	vacuolar protein sorting-associated protein 18 homolog
12846at6656	Complete	AgamP4_X:9865702-9869765	729.4	571	https://www.orthodb.org/v10?query=12846at6656	Rab-GTPase-TBC domain
13019at6656	Complete	AgamP4_X:2171391-2177961	681.2	417	https://www.orthodb.org/v10?query=13019at6656	WD40-repeat-containing domain
13051at6656	Complete	AgamP4_X:16222087-16237100	238.3	199	https://www.orthodb.org/v10?query=13051at6656	partitioning defective 3 homolog
13736at6656	Complete	AgamP4_2R:556580-560218	1688.9	881	https://www.orthodb.org/v10?query=13736at6656	regulator of nonsense transcripts 1
13833at6656	Complete	AgamP4_2L:30451906-30454418	474.6	467	https://www.orthodb.org/v10?query=13833at6656	tetratricopeptide repeat protein 27
13858at6656	Complete	AgamP4_2R:57589246-57592097	979.3	707	https://www.orthodb.org/v10?query=13858at6656	WD40-repeat-containing domain
13890at6656	Complete	AgamP4_2R:43763623-43768859	658.3	510	https://www.orthodb.org/v10?query=13890at6656	ubiquitin carboxyl-terminal hydrolase 20
13934at6656	Complete	AgamP4_3L:8624534-8630790	1042.4	745	https://www.orthodb.org/v10?query=13934at6656	periodic tryptophan protein 2 homolog
14090at6656	Complete	AgamP4_2R:42626027-42628950	988.3	718	https://www.orthodb.org/v10?query=14090at6656	protein unc-45 homolog B
14257at6656	Complete	AgamP4_2R:2987348-2991069	1005.8	908	https://www.orthodb.org/v10?query=14257at6656	Golgi apparatus protein 1
14447at6656	Complete	AgamP4_X:584-15870	463.0	481	https://www.orthodb.org/v10?query=14447at6656	protein kibra
14995at6656	Complete	AgamP4_3R:34698324-34703468	983.9	798	https://www.orthodb.org/v10?query=14995at6656	protein brunelleschi
15200at6656	Complete	AgamP4_3R:45417976-45421669	1366.4	873	https://www.orthodb.org/v10?query=15200at6656	exportin-1
15697at6656	Complete	AgamP4_2R:27054801-27059401	1045.1	754	https://www.orthodb.org/v10?query=15697at6656	protein CLEC16A isoform X1
15905at6656	Complete	AgamP4_2R:56786099-56788907	267.2	166	https://www.orthodb.org/v10?query=15905at6656	polyphosphoinositide phosphatase
16061at6656	Complete	AgamP4_3R:746096-750791	975.2	671	https://www.orthodb.org/v10?query=16061at6656	DNA-directed RNA polymerase
16084at6656	Complete	AgamP4_2R:31272669-31276275	1040.8	795	https://www.orthodb.org/v10?query=16084at6656	integrator complex subunit 2
16220at6656	Complete	AgamP4_3R:8630766-8639936	1556.7	946	https://www.orthodb.org/v10?query=16220at6656	leucine--tRNA ligase, cytoplasmic
16630at6656	Complete	AgamP4_2R:24241147-24244932	1006.3	839	https://www.orthodb.org/v10?query=16630at6656	symplekin
16648at6656	Complete	AgamP4_3L:7152963-7155215	398.1	363	https://www.orthodb.org/v10?query=16648at6656	NHL repeat-containing protein 2
17096at6656	Complete	AgamP4_2L:44280293-44283628	895.7	627	https://www.orthodb.org/v10?query=17096at6656	E3 ubiquitin-protein ligase MARCH6
17122at6656	Complete	AgamP4_2L:19151272-19157642	1228.3	998	https://www.orthodb.org/v10?query=17122at6656	mediator of RNA polymerase II transcription subunit 14
17128at6656	Complete	AgamP4_2L:48530069-48535890	371.7	323	https://www.orthodb.org/v10?query=17128at6656	phosphatidate phosphatase LPIN2 isoform X1
17748at6656	Complete	AgamP4_3R:35606600-35613969	1503.1	839	https://www.orthodb.org/v10?query=17748at6656	AP-2 complex subunit alpha
18036at6656	Complete	AgamP4_2R:1132063-1161230	1000.1	886	https://www.orthodb.org/v10?query=18036at6656	Homeobox protein cut-like
18055at6656	Complete	AgamP4_3R:7887650-7897360	941.9	607	https://www.orthodb.org/v10?query=18055at6656	AP-1 complex subunit gamma
18073at6656	Complete	AgamP4_2L:23865042-23870640	572.3	454	https://www.orthodb.org/v10?query=18073at6656	DNA repair protein REV1
18630at6656	Complete	AgamP4_2L:40995291-40999286	1131.2	928	https://www.orthodb.org/v10?query=18630at6656	WASH complex subunit strumpellin
18929at6656	Complete	AgamP4_3L:10284312-10299785	741.9	539	https://www.orthodb.org/v10?query=18929at6656	Ral guanine nucleotide dissociation stimulator-like 1
19044at6656	Complete	AgamP4_2R:4663906-4667445	1165.1	645	https://www.orthodb.org/v10?query=19044at6656	Putative G-protein coupled receptor 158
19058at6656	Complete	AgamP4_2R:3313380-3317185	1289.8	849	https://www.orthodb.org/v10?query=19058at6656	probable ATP-dependent RNA helicase DHX34
19104at6656	Complete	AgamP4_3R:15392781-15395321	545.5	562	https://www.orthodb.org/v10?query=19104at6656	septin-interacting protein 1
19129at6656	Complete	AgamP4_2L:8818558-8821074	576.1	543	https://www.orthodb.org/v10?query=19129at6656	Anaphase-promoting complex subunit 2
19208at6656	Complete	AgamP4_2L:18121466-18124662	1405.1	802	https://www.orthodb.org/v10?query=19208at6656	pre-mRNA-processing factor 6
19289at6656	Complete	AgamP4_2L:47002730-47005238	755.2	629	https://www.orthodb.org/v10?query=19289at6656	ATP-dependent RNA helicase DDX54
19590at6656	Complete	AgamP4_2R:658072-660560	530.5	395	https://www.orthodb.org/v10?query=19590at6656	WD40-repeat-containing domain
19760at6656	Complete	AgamP4_2R:22475734-22482763	916.1	684	https://www.orthodb.org/v10?query=19760at6656	Integrator complex subunit 3
20093at6656	Complete	AgamP4_2R:18065661-18082607	609.3	648	https://www.orthodb.org/v10?query=20093at6656	Trafficking protein particle complex subunit 10
20162at6656	Complete	AgamP4_3L:23589458-23595806	1226.3	888	https://www.orthodb.org/v10?query=20162at6656	protein patched
20267at6656	Complete	AgamP4_3R:28117587-28126978	877.7	681	https://www.orthodb.org/v10?query=20267at6656	vacuolar protein sorting-associated protein 41 homolog
20935at6656	Complete	AgamP4_3R:51878834-51881221	983.7	614	https://www.orthodb.org/v10?query=20935at6656	Glutaminyl-tRNA synthetase, class Ib, non-specific RNA-binding domain 2
20936at6656	Complete	AgamP4_3R:47087937-47091339	649.1	492	https://www.orthodb.org/v10?query=20936at6656	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A containing DEAD/H box 1
21019at6656	Complete	AgamP4_2L:15971449-15975452	1302.9	951	https://www.orthodb.org/v10?query=21019at6656	vigilin
21191at6656	Complete	AgamP4_3L:5028146-5031625	1086.4	744	https://www.orthodb.org/v10?query=21191at6656	RNA cytidine acetyltransferase
21361at6656	Complete	AgamP4_3L:35250552-35254487	687.1	472	https://www.orthodb.org/v10?query=21361at6656	phosphorylated CTD-interacting factor 1
21367at6656	Complete	AgamP4_3R:13732950-13736560	504.3	474	https://www.orthodb.org/v10?query=21367at6656	protein smoothened
21385at6656	Complete	AgamP4_2R:30132597-30137313	684.0	935	https://www.orthodb.org/v10?query=21385at6656	RRP12-like protein
22098at6656	Complete	AgamP4_2R:4185004-4189729	1276.3	759	https://www.orthodb.org/v10?query=22098at6656	Coatomer subunit beta
22148at6656	Complete	AgamP4_2L:35664131-35666437	756.5	606	https://www.orthodb.org/v10?query=22148at6656	Exocyst complex component
22358at6656	Complete	AgamP4_3R:5949358-5953022	794.9	517	https://www.orthodb.org/v10?query=22358at6656	Protein-tyrosine phosphatase receptor IA-2 ectodomain
22364at6656	Complete	AgamP4_2R:43128618-43133831	1481.8	936	https://www.orthodb.org/v10?query=22364at6656	importin-5
22468at6656	Complete	AgamP4_2L:33965629-33969573	1197.8	934	https://www.orthodb.org/v10?query=22468at6656	intraflagellar transport protein 122 homolog
22611at6656	Complete	AgamP4_2R:3568901-3577236	661.0	599	https://www.orthodb.org/v10?query=22611at6656	WD40-repeat-containing domain
22887at6656	Complete	AgamP4_3R:13509641-13512242	1026.3	559	https://www.orthodb.org/v10?query=22887at6656	glycine--tRNA ligase
23309at6656	Complete	AgamP4_2L:46849541-46851963	694.8	671	https://www.orthodb.org/v10?query=23309at6656	RINT1-like protein
23388at6656	Complete	AgamP4_2L:33767804-33772450	719.2	696	https://www.orthodb.org/v10?query=23388at6656	trafficking protein particle complex subunit 11
23429at6656	Complete	AgamP4_X:17602022-17626065	623.3	857	https://www.orthodb.org/v10?query=23429at6656	guanine nucleotide-releasing factor 2 isoform X1
23917at6656	Complete	AgamP4_X:23957543-23972126	908.2	722	https://www.orthodb.org/v10?query=23917at6656	N-terminal kinase-like protein
24255at6656	Complete	AgamP4_2L:43108638-43111586	708.1	502	https://www.orthodb.org/v10?query=24255at6656	Ribosome biogenesis protein BOP1 homolog
24427at6656	Complete	AgamP4_2R:41843544-41847559	391.2	270	https://www.orthodb.org/v10?query=24427at6656	lateral signaling target protein 2 homolog
24459at6656	Complete	AgamP4_X:15861009-15868188	420.1	429	https://www.orthodb.org/v10?query=24459at6656	pyridoxal-dependent decarboxylase domain-containing protein 1
24556at6656	Complete	AgamP4_3R:9738106-9741429	742.5	627	https://www.orthodb.org/v10?query=24556at6656	vacuolar protein sorting-associated protein 54
24573at6656	Complete	AgamP4_3R:31126997-31129958	496.2	460	https://www.orthodb.org/v10?query=24573at6656	Bromodomain-containing protein 7
25554at6656	Complete	AgamP4_2R:30969811-30977792	652.3	608	https://www.orthodb.org/v10?query=25554at6656	elongation factor-like GTPase 1
25680at6656	Complete	AgamP4_2L:13129788-13132648	486.5	500	https://www.orthodb.org/v10?query=25680at6656	Protein kintoun
26078at6656	Complete	AgamP4_2R:607350-612901	624.5	556	https://www.orthodb.org/v10?query=26078at6656	UPF0505 protein C16orf62 homolog
26653at6656	Complete	AgamP4_2R:17198933-17201281	982.8	510	https://www.orthodb.org/v10?query=26653at6656	ATP-binding cassette sub-family E member 1
26734at6656	Complete	AgamP4_2R:22064437-22069010	843.7	576	https://www.orthodb.org/v10?query=26734at6656	tRNA (cytosine(34)-C(5))-methyltransferase
27198at6656	Complete	AgamP4_3R:44088524-44091127	889.6	655	https://www.orthodb.org/v10?query=27198at6656	general vesicular transport factor p115
27515at6656	Complete	AgamP4_3R:12309226-12311081	475.4	370	https://www.orthodb.org/v10?query=27515at6656	GPI transamidase component PIG-T
27617at6656	Complete	AgamP4_3R:44732910-44736280	575.4	435	https://www.orthodb.org/v10?query=27617at6656	cell division cycle protein 23 homolog
27655at6656	Complete	AgamP4_2R:18575454-18579090	1056.3	644	https://www.orthodb.org/v10?query=27655at6656	N-alpha-acetyltransferase 15, NatA auxiliary subunit
28325at6656	Complete	AgamP4_2R:33788819-33810682	1162.9	736	https://www.orthodb.org/v10?query=28325at6656	Serine/threonine-protein kinase TAO1
28380at6656	Complete	AgamP4_2L:35531231-35538430	411.3	308	https://www.orthodb.org/v10?query=28380at6656	Homeobox domain
28519at6656	Complete	AgamP4_3R:14561558-14566795	793.4	501	https://www.orthodb.org/v10?query=28519at6656	Cyclophilin-type peptidyl-prolyl cis-trans isomerase
28685at6656	Complete	AgamP4_2R:47232680-47235970	729.2	602	https://www.orthodb.org/v10?query=28685at6656	conserved oligomeric Golgi complex subunit 3
28872at6656	Complete	AgamP4_3R:225474-227651	461.4	407	https://www.orthodb.org/v10?query=28872at6656	TBC1 domain family member 23
29213at6656	Complete	AgamP4_X:5877656-5881526	956.8	698	https://www.orthodb.org/v10?query=29213at6656	regulator of nonsense transcripts 2
29237at6656	Complete	AgamP4_2R:42204511-42207013	666.4	416	https://www.orthodb.org/v10?query=29237at6656	Set1/Ash2 histone methyltransferase complex subunit ASH2
29365at6656	Complete	AgamP4_2R:33813281-33815233	598.3	482	https://www.orthodb.org/v10?query=29365at6656	Sec1-like protein
29730at6656	Complete	AgamP4_3L:5818264-5821152	462.9	396	https://www.orthodb.org/v10?query=29730at6656	nucleolar complex protein 2 homolog
29744at6656	Complete	AgamP4_2L:34764282-34767192	849.0	619	https://www.orthodb.org/v10?query=29744at6656	vacuolar protein sorting-associated protein 53 homolog
30156at6656	Complete	AgamP4_2R:43796685-43799001	547.7	497	https://www.orthodb.org/v10?query=30156at6656	conserved oligomeric Golgi complex subunit 2
30184at6656	Complete	AgamP4_3L:41141781-41144553	1105.6	623	https://www.orthodb.org/v10?query=30184at6656	pre-mRNA-splicing factor SYF1
30267at6656	Complete	AgamP4_2L:47796762-47800787	564.3	694	https://www.orthodb.org/v10?query=30267at6656	vacuolar protein sorting-associated protein 8 homolog
30463at6656	Complete	AgamP4_2R:51863830-51866182	467.6	452	https://www.orthodb.org/v10?query=30463at6656	exocyst complex component 8
30512at6656	Complete	AgamP4_2L:49322598-49325932	231.3	205	https://www.orthodb.org/v10?query=30512at6656	zinc finger protein 598
30526at6656	Complete	AgamP4_2R:55562361-55567028	741.0	578	https://www.orthodb.org/v10?query=30526at6656	neurochondrin homolog
30642at6656	Complete	AgamP4_2R:18630420-18632484	854.0	475	https://www.orthodb.org/v10?query=30642at6656	uncharacterized protein LOC100115344
30822at6656	Complete	AgamP4_2L:2471999-2474119	723.0	468	https://www.orthodb.org/v10?query=30822at6656	Arginyl tRNA synthetase N-terminal domain
30918at6656	Complete	AgamP4_3R:50702261-50706702	771.6	675	https://www.orthodb.org/v10?query=30918at6656	protein bicaudal D
30962at6656	Complete	AgamP4_3L:27210475-27217966	880.1	773	https://www.orthodb.org/v10?query=30962at6656	WD40-repeat-containing domain
31014at6656	Complete	AgamP4_2L:23651966-23657707	692.5	544	https://www.orthodb.org/v10?query=31014at6656	ATP-dependent DNA helicase Q4
31119at6656	Complete	AgamP4_3R:37009802-37012165	508.9	592	https://www.orthodb.org/v10?query=31119at6656	transducin beta-like protein 3
31196at6656	Complete	AgamP4_X:5662881-5675167	484.1	455	https://www.orthodb.org/v10?query=31196at6656	Katanin p80 WD40 repeat-containing subunit B1
31333at6656	Complete	AgamP4_3L:38007352-38010968	798.4	555	https://www.orthodb.org/v10?query=31333at6656	Eukaryotic translation initiation factor 3 subunit B
31480at6656	Complete	AgamP4_3R:6530699-6535466	274.5	239	https://www.orthodb.org/v10?query=31480at6656	Carboxylesterase, type B
31615at6656	Complete	AgamP4_3L:3183629-3188506	920.9	540	https://www.orthodb.org/v10?query=31615at6656	1,4-alpha-glucan-branching enzyme
31634at6656	Complete	AgamP4_2L:21624116-21630569	898.6	980	https://www.orthodb.org/v10?query=31634at6656	xylosyltransferase oxt
31820at6656	Missing
31886at6656	Complete	AgamP4_2R:11798287-11800410	1015.0	566	https://www.orthodb.org/v10?query=31886at6656	protein crooked neck
31919at6656	Complete	AgamP4_3L:27950687-27954899	1055.1	649	https://www.orthodb.org/v10?query=31919at6656	protein HID1
32694at6656	Complete	AgamP4_2L:2798073-2806761	1165.3	894	https://www.orthodb.org/v10?query=32694at6656	Eukaryotic translation initiation factor 3 subunit C
32733at6656	Complete	AgamP4_X:14307482-14318785	334.9	190	https://www.orthodb.org/v10?query=32733at6656	Cuticlin-1
32851at6656	Complete	AgamP4_2R:16040651-16045573	1075.8	630	https://www.orthodb.org/v10?query=32851at6656	small G protein signaling modulator 3 homolog
33187at6656	Complete	AgamP4_2L:1527688-1533478	580.0	439	https://www.orthodb.org/v10?query=33187at6656	hormone receptor 4-like
33566at6656	Complete	AgamP4_2L:3156610-3158784	1047.5	591	https://www.orthodb.org/v10?query=33566at6656	ATP-dependent RNA helicase Ddx1
33794at6656	Complete	AgamP4_X:5706422-5711185	535.6	398	https://www.orthodb.org/v10?query=33794at6656	Nucleoside phosphorylase superfamily
34586at6656	Complete	AgamP4_3R:6003810-6005987	599.7	397	https://www.orthodb.org/v10?query=34586at6656	menin
34917at6656	Complete	AgamP4_3R:35939520-35941542	358.8	311	https://www.orthodb.org/v10?query=34917at6656	endoplasmic reticulum lectin 1
35035at6656	Complete	AgamP4_2L:16972791-16975653	261.5	194	https://www.orthodb.org/v10?query=35035at6656	Rab5 GDP/GTP exchange factor
35548at6656	Complete	AgamP4_3L:18220349-18222808	465.6	379	https://www.orthodb.org/v10?query=35548at6656	digestive organ expansion factor homolog
35680at6656	Complete	AgamP4_2L:36432688-36436478	482.6	373	https://www.orthodb.org/v10?query=35680at6656	probable tRNA (uracil-O(2)-)-methyltransferase
35708at6656	Complete	AgamP4_2L:20161975-20164214	318.5	301	https://www.orthodb.org/v10?query=35708at6656	pseudouridylate synthase 7 homolog
35995at6656	Complete	AgamP4_3R:8742454-8745168	909.0	463	https://www.orthodb.org/v10?query=35995at6656	Elongator complex protein 3
36374at6656	Complete	AgamP4_3R:34744430-34746142	490.0	426	https://www.orthodb.org/v10?query=36374at6656	mitochondrial import receptor subunit TOM70
36387at6656	Complete	AgamP4_3L:21847953-21850204	743.6	489	https://www.orthodb.org/v10?query=36387at6656	protein sly1 homolog
36403at6656	Complete	AgamP4_3R:24953319-24955601	889.6	612	https://www.orthodb.org/v10?query=36403at6656	exocyst complex component 3
36463at6656	Complete	AgamP4_2L:2487769-2489607	1008.7	534	https://www.orthodb.org/v10?query=36463at6656	ATP-dependent RNA helicase abstrakt
37030at6656	Complete	AgamP4_2R:560863-562588	440.9	398	https://www.orthodb.org/v10?query=37030at6656	28S ribosomal protein S30, mitochondrial
37297at6656	Complete	AgamP4_3R:14638285-14642902	651.6	476	https://www.orthodb.org/v10?query=37297at6656	peroxisomal multifunctional enzyme type 2
37387at6656	Complete	AgamP4_3R:52067737-52113981	1333.5	1394	https://www.orthodb.org/v10?query=37387at6656	trichohyalin isoform X1
37678at6656	Complete	AgamP4_2L:12358998-12360792	592.1	367	https://www.orthodb.org/v10?query=37678at6656	threonylcarbamoyladenosine tRNA methylthiotransferase
38140at6656	Complete	AgamP4_3R:2595123-2602224	763.7	515	https://www.orthodb.org/v10?query=38140at6656	striatin-interacting protein 1 homolog
38186at6656	Complete	AgamP4_3L:34610120-34613180	472.8	565	https://www.orthodb.org/v10?query=38186at6656	G patch domain-containing protein 1 homolog
38303at6656	Complete	AgamP4_3L:6553402-6558534	795.1	463	https://www.orthodb.org/v10?query=38303at6656	T-complex protein 1 subunit theta
38391at6656	Complete	AgamP4_3R:16061095-16063494	527.5	501	https://www.orthodb.org/v10?query=38391at6656	protein MCM10 homolog
38567at6656	Complete	AgamP4_X:2144315-2149114	982.7	703	https://www.orthodb.org/v10?query=38567at6656	DNA polymerase subunit gamma-1, mitochondrial
38819at6656	Complete	AgamP4_2R:288408-298527	792.0	447	https://www.orthodb.org/v10?query=38819at6656	Sorting nexin-27
38928at6656	Complete	AgamP4_2L:16203465-16205529	729.7	504	https://www.orthodb.org/v10?query=38928at6656	integrator complex subunit 9
39506at6656	Complete	AgamP4_2L:13125471-13128481	604.7	579	https://www.orthodb.org/v10?query=39506at6656	probable RNA-binding protein 19
39548at6656	Complete	AgamP4_2L:42955324-42957234	622.6	433	https://www.orthodb.org/v10?query=39548at6656	Pescadillo homolog
39783at6656	Complete	AgamP4_2R:56023638-56025910	350.5	432	https://www.orthodb.org/v10?query=39783at6656	conserved oligomeric Golgi complex subunit 7
39809at6656	Complete	AgamP4_2R:30260883-30265596	787.3	773	https://www.orthodb.org/v10?query=39809at6656	importin-11
39821at6656	Complete	AgamP4_3L:41815486-41816679	468.1	300	https://www.orthodb.org/v10?query=39821at6656	ceramide glucosyltransferase
40065at6656	Complete	AgamP4_3R:833412-837873	942.5	599	https://www.orthodb.org/v10?query=40065at6656	trifunctional enzyme subunit alpha, mitochondrial
40092at6656	Complete	AgamP4_2L:42688303-42690010	370.9	392	https://www.orthodb.org/v10?query=40092at6656	CWF19-like protein 1
40213at6656	Complete	AgamP4_2R:49464100-49466313	610.9	447	https://www.orthodb.org/v10?query=40213at6656	THO complex subunit 1
40240at6656	Complete	AgamP4_3L:37834520-37836430	470.0	373	https://www.orthodb.org/v10?query=40240at6656	Ubiquitinyl hydrolase 1
40319at6656	Complete	AgamP4_2R:31149926-31152532	972.1	553	https://www.orthodb.org/v10?query=40319at6656	Zona pellucida domain
40323at6656	Complete	AgamP4_3R:3976726-3979639	764.2	493	https://www.orthodb.org/v10?query=40323at6656	Mitochondrial Rho GTPase
40399at6656	Complete	AgamP4_X:9483607-9487885	684.7	658	https://www.orthodb.org/v10?query=40399at6656	vacuolar protein sorting-associated protein 16 homolog
40691at6656	Complete	AgamP4_2R:47467248-47473595	572.6	437	https://www.orthodb.org/v10?query=40691at6656	Sec1-like protein
40929at6656	Complete	AgamP4_3L:31279277-31281446	836.8	565	https://www.orthodb.org/v10?query=40929at6656	transcription initiation factor TFIID subunit 5
41522at6656	Complete	AgamP4_2R:1274294-1284557	1234.9	842	https://www.orthodb.org/v10?query=41522at6656	DNA polymerase
41990at6656	Complete	AgamP4_2L:15469651-15472972	391.4	521	https://www.orthodb.org/v10?query=41990at6656	CCAAT/enhancer-binding protein zeta
42577at6656	Complete	AgamP4_2R:22042259-22047608	587.2	612	https://www.orthodb.org/v10?query=42577at6656	vam6/Vps39-like protein
42622at6656	Complete	AgamP4_3R:45321167-45329519	991.4	516	https://www.orthodb.org/v10?query=42622at6656	integrator complex subunit 11
42819at6656	Complete	AgamP4_3L:40741286-40743497	874.7	592	https://www.orthodb.org/v10?query=42819at6656	FACT complex subunit SSRP1
42842at6656	Complete	AgamP4_2R:20900213-20904451	482.5	406	https://www.orthodb.org/v10?query=42842at6656	DNA-directed RNA polymerase III subunit RPC3
42929at6656	Complete	AgamP4_3R:23783825-23786263	426.2	435	https://www.orthodb.org/v10?query=42929at6656	RNA polymerase I-specific transcription initiation factor RRN3
42943at6656	Duplicated	AgamP4_3L:17971516-17973687	208.3	173	https://www.orthodb.org/v10?query=42943at6656	probable ATP-dependent RNA helicase DDX56
42943at6656	Duplicated	AgamP4_3L:17978104-17980238	203.4	173	https://www.orthodb.org/v10?query=42943at6656	probable ATP-dependent RNA helicase DDX56
42992at6656	Complete	AgamP4_2L:49340932-49343146	775.8	517	https://www.orthodb.org/v10?query=42992at6656	mitochondrial intermediate peptidase
43045at6656	Complete	AgamP4_X:7185245-7188049	826.2	476	https://www.orthodb.org/v10?query=43045at6656	negative elongation factor D
43236at6656	Complete	AgamP4_2L:6213929-6217615	767.7	548	https://www.orthodb.org/v10?query=43236at6656	cold shock domain-containing protein E1
43245at6656	Complete	AgamP4_3L:14482559-14484210	621.1	383	https://www.orthodb.org/v10?query=43245at6656	General transcription factor IIH subunit 4
43540at6656	Complete	AAAB01008929:18021-20776	652.4	393	https://www.orthodb.org/v10?query=43540at6656	peptidyl-prolyl cis-trans isomerase-like 2
43728at6656	Complete	AgamP4_2L:25560534-25575756	688.9	430	https://www.orthodb.org/v10?query=43728at6656	WD40-repeat-containing domain
43774at6656	Complete	AgamP4_2R:32329881-32331422	538.9	398	https://www.orthodb.org/v10?query=43774at6656	splicing factor 3A subunit 3
