Predicted function of gene	No. of genes
putative adenylate cyclase terminal-differentiation specificmarajoara	1
putative adenylate cyclase type 2 isoform x4 stephensi	1
putative adenylate cyclase type 2 stephensi	1
putative adenylate cyclase type 3 stephensi	1
putative adenylate cyclase type 9 isoform x1 stephensi	1
Putative AGAP000155-PA alkylated DNA repair protein alkB homolog	1
Putative AGAP000349-PA transient receptor potential cation channel subfamilyC invertebrate	1
Putative AGAP000651-PB Actin-5C	1
Putative AGAP001130-PA poly(A) RNA polymerase GLD2	1
Putative AGAP001446-PB AMP-activated protein kinase gamma regulatorysubunit	1
Putative AGAP001469-PA Protein tyrosine phosphatase receptor type fpolypeptide (PTPRF) interacting protein (liprin)	1
Putative AGAP001523-PA ATP-binding cassette transporter (ABC transporter)family A member 7	1
Putative AGAP001769-PD beat protein - signalP detected	1
Putative AGAP001783-PB microtubule-severing ATPase	1
Putative AGAP002079-PA Arrestin_C domain-containing protein	1
Putative AGAP002109-PA solute carrier family 31 (copper transporter)member 1	1
Putative AGAP002324-PB mitochondrial sodium/hydrogen exchanger NHA2	1
Putative AGAP002498-PA vacuolar protein sorting 39	1
Putative AGAP002506-PA runt-related transcription factor	1
Putative AGAP002671-PA beta-13-galactosyltransferase 1	1
Putative AGAP002802-PB neural cell adhesion molecule - signalP detected	1
Putative AGAP002879-PB cathepsin F - signalP detected	1
Putative AGAP003221-PA ATP-binding cassette transporter (ABC transporter)family C member 3	1
Putative AGAP003276-PA splicing factor arginine/serine-rich 17	1
Putative AGAP003369.P253 RNA-binding protein 16	1
Putative AGAP004201-PA a disintegrin and metalloproteinase with thrombospondinmotifs 9	1
Putative AGAP004544-PA solute carrier family 35 member F3/4 - signalP detected	1
Putative AGAP005203-PF peptidoglycan recognition protein (long)	1
Putative AGAP005205-PA peptidoglycan recognition protein (long)	1
Putative AGAP005963-PA Ubiquitin-like domain-containing protein	1
Putative AGAP006460-PA HTH La-type RNA-binding domain-containing protei	1
Putative AGAP006669-PA arginine-glutamic acid dipeptide repeats protein	1
Putative AGAP007065-PB transcription factor CP2 and related protein	1
Putative AGAP007114-PA RING finger and CCCH-type zinc finger domain-containingprotein	1
Putative AGAP007237-PA Heme peroxidase 4 - signalP detected	1
Putative AGAP007256-PA Multiple epidermal growth factor-like domains 10 - signalP detected	1
Putative AGAP007608.P519 MADS-box transcription enhancer factor 2 invertebrate	1
Putative AGAP007718-PA Glycosyltransferase family 92 protein	1
Putative AGAP007757-PA Gustatory receptor	1
Putative AGAP007978-PA histone-lysine N-methyltransferase SETDB	1
Putative AGAP008435-PB transient receptor potential cation channel subfamilyC invertebrate	1
Putative AGAP009424-PD Calponin-homology (CH) domain-containing protei	1
Putative AGAP009471-PA ATP-binding cassette transporter (ABC transporter)family G member 19	1
Putative AGAP009827-PA CCR4-NOT transcription complex subunit 4	1
Putative AGAP009835-PB ATP-binding cassette transporter (ABC transporter)family C member 14 - signalP detected	1
Putative AGAP009947-PA beat protein	1
Putative AGAP010416-PA ATP-binding cassette transporter (ABC transporter)family A member 8	1
Putative AGAP010669.P344 TOLL-like receptor 5B	1
Putative AGAP010800-PD nuclear protein NHN1	1
Putative AGAP011118-PA focal adhesion kinase 1	1
Putative AGAP012141-PA ankyrin repeat-rich membrane spanning protein	1
Putative AGAP012383-PA organic cation transporter	1
Putative AGAP012481-PA histone-lysine N-methyltransferase SETD8 - signalP detected	1
Putative AGAP027982.P182 Tetraspanin	1
Putative AGAP028728-PA CLIP-domain serine protease	1
Putative AGAP029101-PA Calponin-homology (CH) domain-containing protei	1
Putative AGAP029451-PA ATP-binding cassette transporter (ABC transporter)family G member 3	1
Putative AGAP029514-PA Protein kinase domain-containing protein	1
Putative AGAP029531-PB Protein kinase domain-containing protein	1
Putative AGAP029678-PA Myosin motor domain-containing protein	1
Putative AGAP029686-PA ATP-binding cassette transporter (ABC transporter)family C member 6	1
Putative Aldehyde dehydrogenase family 3 members A1	1
Putative Alpha galactosidase A - signalP detected	1
putative alpha-2-macroglobulin family	1
Putative Alpha-crystallin domain	1
Putative Alternative splicing regulator	1
Putative Amyloid beta	1
Putative AN1-like Zinc finger	1
Putative Ancestral coatomer element 1	1
Putative Anillin Pleckstrin homology	1
Putative apolipoprotein D and similar protein - signalP detected	1
Putative Apx/Shroom domain ASD2	1
Putative ArfGap with dual PH domains	1
Putative ARF-like small GTPases	1
Putative ARID/BRIGHT DNA binding domain of deadringer	1
Putative Ataxin-1 and HBP1 module	1
Putative ATPase family associated with various cellularactivities	1
Putative Band 4	1
Putative basic helix-loop-helix	1
Putative BBH63279.1 transient receptor potential cation channel subfamilyA member 1 isoform C	1
Putative Bestrophin	1
Putative Bravo-like intracellular region - signalP detected	1
Putative BSD domain	1
Putative Bubblegum-like very long-chain fatty acidCoA synthetase	1
Putative C2 domain found in 5' repressor elementunder dual repression binding protein-1	1
Putative C2 domain second repeat contained inRab3-interacting molecule	1
Putative C2 domain sixth repeat in Ferlin	1
Putative C2 domain third repeat present in uncharacterizedhuman KIAA1228-like protein	1
Putative Ca2+-binding protein	1
Putative Cadherin tandem repeat domain	1
Putative Cadherin tandem repeat domain - signalP detected	1
Putative Calcium-activated chloride channel	1
Putative Calcium-independent phospholipase A2	1
Putative calmodulin	1
Putative Calpain family cysteine protease	1
Putative Calponin homology	1
Putative CAP-Gly domain	1
Putative Carbohydrate/starch-binding module	1
Putative Carbonic anhydrase alpha relatedprotein: groups X - signalP detected	1
Putative cargo binding domain of myosin5-like of afadin	1
Putative Casein kinase II regulatory subunit	1
Putative Catalytic domain of Class I Phosphoinositide3-kinase	1
Putative Catalytic domain of Class II Phosphoinositide3-kinase	1
Putative Catalytic domain of Mammalian Ste20-likeprotein kinase 3-like Serine/Threonine Kinases	1
Putative Catalytic domain of metazoan phosphoinositide-specificphospholipase C-beta	1
Putative Catalytic domain of the Dual-specificity proteinkinases	1
Putative Catalytic domain of the protein kinase	1
Putative Catalytic domain of the protein kinases	1
Putative Catalytic domain of the Protein TyrosineKinase	1
Putative Catalytic domain of the Serine/Threonine Kinases	1
Putative Catalytic domain of the Serine/Threonine proteinkinase	1
Putative Catalytic domain of the Serine/Threonineprotein kinase	1
Putative Catalytic domain of Type III Phosphoinositide4-kinase beta	1
Putative Catalytic inositol polyphosphate 5-phosphatase	1
Putative Catalytic inositol polyphosphate5-phosphatase	1
Putative Cell death protein 6 homolog	1
Putative CG-1 domains are highly conserved domains ofabout 130 amino-acid residues	1
Putative Chitin binding Peritrophin-A domain	1
Putative Chromosome condensation complex Condensin	1
Putative CID	1
Putative Ciliary basal body-associated	1
Putative Cloned out of library/PAK-interactive exchangefactor pleckstrin homology	1
Putative Coenzyme A pyrophosphatase	1
Putative Cortactin-binding protein-2	1
Putative CP2 transcription factor	1
Putative C-terminal deadenylase domainof nocturnin and related domains	1
Putative C-terminal dual-specificity phosphatase domainof CDC14 family protein	1
Putative CUE domain found in the N-terminal ofTGF-beta-activated kinase 1 and MAP3K7-binding protein TAB2	1
Putative cyclin ccl1	1
putative cytochrome p450 10-like stephensi - signalP detected	1
putative cytochrome p450 4d2-like isoform x2 stephensi	1
putative cytochrome p450 stephensi - signalP detected	1
Putative DAN domain - signalP detected	1
Putative DB module - signalP detected	1
putative dde superfamily endonuclease	1
Putative DEAD/DEAH box helicase	1
Putative DEAD-box helicase domain of DEAD box protein6	1
Putative DEDDy 3'-5' exonuclease domain of DrosophilaEgalitarian	1
Putative DENN	1
Putative Deoxyhypusine synthase	1
Putative DEP	1
Putative DEXH-box helicase domain of ARIP4	1
Putative D-hydantoinases	1
Putative Diacylglycerol kinase accessory domain	1
Putative Diacylglycerol kinase catalytic domain	1
Putative Disco-interacting protein 2	1
Putative DnaJ-class molecular chaperone with C-terminalZn finger domain	1
Putative domain present in cyclins	1
Putative Dual oxidase maturation factor	1
Putative dual specificity phosphatase domain ofslingshot family phosphatases	1
Putative Dynein heavy chain and region D6 ofdynein motor	1
Putative Dystroglycan - signalP detected	1
putative e3 ubiquitin ligase triannulatus	1
putative e3 ubiquitin-protein ligase amfr-like stephensi - signalP detected	1
putative e3 ubiquitin-protein ligase cbl-b braziliensis	1
putative e3 ubiquitin-protein ligase herc2 stephensi	1
putative e3 ubiquitin-protein ligase hyd isoform x4 stephensi	1
putative e3 ubiquitin-protein ligase makorin-2stephensi	1
putative e3 ubiquitin-protein ligase mib2 stephensi	1
putative e3 ubiquitin-protein ligase mylip isoform x2 stephensi	1
putative e3 ubiquitin-protein ligase nedd-4 isoform x1stephensi	1
putative e3 ubiquitin-protein ligase nrdp1 stephensi	1
putative e3 ubiquitin-protein ligase rnf19b-like isoformx1 stephensi	1
putative e3 ubiquitin-protein ligase sudx-like stephensi	1
putative e3 ubiquitin-protein ligase topors-like stephensi	1
putative e3 ubiquitin-protein ligase trim33 isoform x2stephensi	1
putative e3 ubiquitin-protein ligase ufd4 isoform x4 stephensi	1
putative e3 ubiquitin-protein ligase znrf2-like stephensi	1
putative e3 ubiquitin-protein ligasehighwire stephensi	1
Putative EF-hand-like motif found in the dystrophinssubfamily	1
Putative Enabled/VASP family EVH1 domain	1
Putative Epsin N-Terminal Homology	1
Putative Euykaryotic Choline Kinase	1
Putative Extended PHD finger found in proteinAF-10 and AF-17	1
Putative Fe65 N-terminal Phosphotyrosine-binding	1
Putative FEN-like PIN domains of FAM120B	1
Putative Fibronectin type 3 domain	1
Putative Filamin-type immunoglobulin domains	1
Putative First immunoglobulin	1
Putative Flotillin or reggie family	1
Putative Forkhead domain	1
putative fyve domain found in myotubularin-relatedprotein 4	1
Putative G protein gamma subunit-like motifs	1
Putative gamma-Secretase-activating protein C-term	1
Putative Gelsolin sub-domain 4-like domainfound in gelsolin	1
putative ghh signature	1
Putative Glucose transporter - signalP detected	1
Putative Glycerophosphoryl diester phosphodiesterasefamily	1
Putative Glycosyl-transferase for dystroglycan	1
putative goliath e3 ubiquitin ligase braziliensis	1
Putative GPN-loop GTPase 1	1
Putative G-protein pathway suppressor	1
Putative G-protein pathway suppressor 2-interactingdomain	1
Putative GTP binding protein 1	1
Putative Guanine nucleotide exchange factor for Ras-likesmall GTPases	1
Putative Haemolymph juvenile hormone binding protein - signalP detected	1
Putative High Mobility Group	1
Putative HMGB-UBF_HMG-box	1
Putative hnRNP-L/PTB/hephaestussplicing factor family	1
putative hoip uba domain pair	1
Putative Homeobox KN domain	1
Putative Homeo-prospero domain	1
Putative human Mgc4172-like	1
Putative HYR domain	1
Putative Immunoglobulin domain	1
Putative Immunoglobulin I-set domain	1
Putative Importin beta-related nuclear transport recepto	1
Putative Indigoidine synthase A like protein	1
Putative Insect cuticle protein - signalP detected	1
Putative insect photoreceptors R1-R6and similar protein	1
Putative Integrin alpha	1
Putative Ion channel	1
Putative JAA98248.1 putative regulation of transcription dna-dependent	1
Putative JAA98577.1 hypothetical protein	1
Putative JAA99035.1 putative downstream of receptor kinase	1
Putative JAA99145.1 putative protein with signal anchor - Membrane anchor detected	1
Putative JAA99167.1 putative cytokinesis actomyosin contractile ring assembl	1
Putative JAB01148.1 putative activating transcription factor-2 partial - signalP detected	1
Putative JAB01286.1 putative leucine-rich repeat-containing g protein-coupled receptor6 partial - signalP detected	1
Putative JAB01458.1 putative lim domain transcription factor lmo4-b partia	1
Putative JAC08500.1 putative calcineurin b2	1
Putative JAC11837.1 protein kinase interferon-inducible double strandedrna dependent activator partial	1
Putative JAC12279.1 putative muscle m-line assembly protein unc-89 partial	1
Putative JAC13032.1 putative myosin class ii heavy chain	1
Putative JAC13530.1 putative cholesterol transport protein partial	1
Putative JAC15317.1 putative thyroid hormone receptor-associated protein complexsubunit partial	1
Putative JAC47661.1 Sodium leak channel non-selective protein partia	1
Putative JAN94883.1 putative ubiquitin specific proteinase partial	1
Putative JAN94948.1 putative transcriptional regulator partial	1
Putative JAN95842.1 putative aspartyl beta-hydroxylase	1
Putative JAN95849.1 putative ark protein kinase family partial	1
Putative JAV13794.1 putative titin isoform x3	1
Putative JAV19503.1 putative serine/threonine-protein kinase	1
Putative JAV19818.1 putative nuclear membrane protein involved in mrna transpor	1
Putative JAV24312.1 putative ankyrin repeat protein	1
Putative JAV27646.1 putative actin-binding protein coronin	1
Putative JAV29212.1 putative ribonuclease p/mrp subunit	1
Putative JAV31346.1 putative transcription factor zerknullt	1
Putative JAV31456.1 putative neural cell adhesion molecule l1 - signalP detected	1
Putative JAV31738.1 putative gtpase-activating proteinral function prediction onl	1
Putative JAV32778.1 putative ankyrin	1
Putative JAV33046.1 putative ficolin-like protein - signalP detected	1
Putative JAV34489.1 putative activating signal cointegrator 1 complex subunit 2 proteinisoform x6	1
Putative JAV34659.1 putative calcium/calmodulin-dependent serine protein kinase/membrane-associatedguanylate kinase	1
Putative JAV46779.1 putative pol-like protein partial	1
Putative JAV46902.1 putative serine/threonine protein phosphatase partial	1
Putative JAV47398.1 putative ecdysteroid kinase partial	1
Putative JAV47574.1 putative lachesin-like protein partial	1
Putative JAV47631.1 putative myosin class ii heavy chain partial	1
Putative JAW12937.1 putative receptor mediating netrin-dependent axon guidance partia	1
Putative Kinase non-catalytic C-lobe domain	1
Putative La RNA-binding domain protein similar toLa-related protein 1 and 2	1
Putative LIM-domain binding protein	1
Putative Lipid-binding SRPBCC domain ofmammalian PITPNC1	1
Putative Lipid-binding SRPBCC domain ofmammalian PITPNM1-2 and related protein	1
Putative lipocalin/cytosolic fatty acid-bindingprotein family - signalP detected	1
Putative LKB1 serine/threonine kinase interacting protein1	1
Putative LMBR1-like membrane protein - signalP detected	1
Putative LRRFIP family	1
Putative Major facilitator superfamily domain-containing14A and 14B	1
Putative Major facilitator superfamily domain-containingprotein 10	1
Putative Major facilitator superfamily domain-containingprotein 6	1
Putative Major facilitator superfamily domain-containingprotein 8	1
Putative Major royal jelly protein	1
Putative Major royal jelly protein - signalP detected	1
Putative Malate/L-lactate dehydrogenase	1
Putative maleylacetoacetate isomerase	1
Putative MamL-1 domain	1
Putative MBC1169923.1 putative cadherin egf lag seven-pass g-type recepto	1
Putative MBC1171952.1 putative gata transcription factor gatac	1
Putative MBW21115.1 putative dna topoisomerase i-interacting protein	1
Putative MBW21145.1 putative cdc42 rho gtpase-activating protein	1
Putative MBW21247.1 putative germ-line stem cell division protein hiwi/piwi	1
Putative MBW21261.1 putative ras-related small gtpase rho type	1
Putative MBW21579.1 putative alpha-protein kinase 1	1
Putative MBW21647.1 putative microtubule-binding calmodulin-regulated spectrin-associate	1
Putative MBW21730.1 putative member of the intramitochondrial sorting protein famil	1
Putative MBW21962.1 putative domon domain of stromal cell-derived receptor2 - signalP detected	1
Putative MBW23026.1 putative transforming growth factor beta bone morphoproteinticprotein - signalP detected	1
Putative MBW23426.1 putative monocarboxylate transporter	1
Putative MBW24209.1 putative doublesex and mab-3 related transcription factor 1	1
Putative MBW25667.1 putative microtubule associated complex	1
Putative MBW26242.1 putative rho gtpase-activating protein 20	1
Putative MBW26771.1 putative lysosomal & prostatic acid phosphatase - signalP detected	1
Putative MBW27213.1 putative multifunctional chaperone 14-3-3 family	1
Putative MBW27674.1 putative ras-related small gtpase rho type	1
Putative MBW27791.1 putative transcription factor ctbp	1
Putative MBW28149.1 putative dnaj-class molecular chaperone	1
Putative MBW28165.1 putative transporter	1
Putative MBW28748.1 putative ras-related in brain	1
Putative MBW29232.1 putative salivary secreted peptide	1
Putative MBW33495.1 putative ca2+-binding actin-bundling protein	1
Putative MBW33582.1 putative chromatin remodeling complex swi/snf component swi	1
Putative MBW34012.1 putative rna-binding ran zn-finger protein	1
Putative MBW34231.1 putative thyroid hormone receptor-associated protein complexsubunit	1
Putative MBW34257.1 putative histone acetylation protein	1
Putative MBW34592.1 putative mediator of rna polymerase ii transcriptionsubunit 26	1
Putative MBW34914.1 putative conserved secreted mucin	1
Putative MBW34926.1 protein with signal anchor	1
Putative MBW35095.1 putative monocarboxylate transporter	1
Putative MBW36186.1 putative lim and calponin similarity -containing protein 1	1
Putative MBW36196.1 putative u4/u6-associated splicing factor prp4	1
Putative MBW36720.1 putative rna-binding protein fusilli	1
Putative MBW36799.1 putative rna polymerase ii c-terminal domain-binding proteinra4	1
Putative MBW37059.1 putative transporter add1 major facilitator superfamily	1
Putative MBW37242.1 putative splicing factor ptsr1	1
Putative MBW37436.1 putative ring finger protein 17	1
Putative MBW37724.1 putative histone acetyltransferase kat6b-like protein	1
Putative MBW37737.1 putative mn2+ and fe2+ transporter of the nramp family	1
Putative MBW37767.1 putative splicing factor arginine/serine-rich 7	1
Putative MBW37803.1 putative polyhomeotic-proximal chromatin protein	1
Putative MBW37918.1 putative gaba-a receptor	1
Putative MBW39138.1 putative p53 regulated pa26 nuclear protein sestrin	1
Putative MBW39298.1 putative cell wall protein iff6	1
Putative MBW39506.1 putative udp-sugar transporter ust74c	1
Putative MBW39772.1 putative esterase and lipase - signalP detected	1
Putative MBW40148.1 putative nuclear transport receptor karyopherin-beta2/transportinimportin beta superfamily	1
Putative MBW40216.1 putative ca2+-binding actin-bundling protein	1
Putative MBW41596.1 putative serine/threonine-protein kinase	1
Putative MBW41670.1 putative gtpase-activating protein	1
Putative MBW41697.1 putative transcription factor meis1	1
Putative MBW42906.1 putative lipocalin-interacting membrane receptor lim lipocalin	1
Putative MBW43576.1 putative mitochondrial thymidine kinase 2/deoxyguanosine kinas	1
Putative MBW44579.1 putative nuclear pore complex protein	1
Putative MBW45958.1 putative camp-dependent protein kinase inhibitor	1
Putative MBW46169.1 putative ficolin	1
Putative MBW49160.1 putative lysosomal trafficking regulator lyst	1
Putative MBW49237.1 putative histone deacetylase complex	1
Putative MBW49242.1 putative mucin-19	1
Putative MBW49399.1 putative sorting nexin	1
Putative MBW49598.1 putative histone-lysine n-methyltransferase 2d	1
Putative MBW50014.1 putative actin-binding protein	1
Putative MBW50045.1 proteinral transcription factor 3c polypeptide 2	1
Putative MBW50126.1 putative metalloendopeptidase	1
Putative MBW50337.1 putative selenocysteine lyase/cysteine desulfurase posttranslationalmodification	1
Putative MBW50550.1 putative tropomyosin	1
Putative MBW50557.1 putative nuclear transport receptor kap120 importin beta superfamil	1
Putative MBW50760.1 putative calcium/calmodulin-dependent serine protein kinase/membrane-associatedguanylate kinase	1
Putative MBW50771.1 putative inositol polyphosphate multikinase component of theargr transcription regulatory complex	1
Putative MBW50807.1 putative monocarboxylate transporter	1
Putative MBW51473.1 putative mediator of rna polymerase ii transcription subunit26	1
Putative MBW51558.1 putative transducin-like enhancer of split protein	1
Putative MBW51776.1 putative cell wall protein iff6	1
Putative MBW51778.1 protein with signal anchor	1
Putative MBW52086.1 putative beta-galactosidase/beta-glucuronidase carbohydrate transportand metabolism	1
Putative MBW52421.1 putative lysine--trna ligase	1
Putative MBW52456.1 putative rna-binding protein cabeza	1
Putative MBW52485.1 putative integumentary mucin c.1 - signalP detected	1
Putative MBW53036.1 putative esterase and lipase	1
Putative MBW53672.1 protein in glucosyltransferase	1
Putative MBW54156.1 putative transcription factor	1
Putative MBW54702.1 putative rna-binding protein elav/hu rrm superfamil	1
Putative MBW56190.1 putative lysozyme-like protein	1
Putative MBW56287.1 putative spliceosome subunit	1
Putative MBW56757.1 putative histone-lysine n-methyltransferase 2d-likeisoform x5	1
Putative MBW57217.1 putative chromatin associated protein kti12	1
Putative MBW57244.1 putative microtubule binding protein	1
Putative MBW58627.1 putative chromatin complex subunit bap18	1
Putative MBW59335.1 putative clathrin adaptor complex small subunit	1
Putative MBW64409.1 putative peptidase m14-like domain of atp/gtp binding protei	1
Putative MBW64713.1 putative ki-ras-induced actin-interacting protein-ip3r-interactin	1
Putative MBW65028.1 putative alpha-tubulin suppressor	1
Putative MBW65192.1 putative neural cell adhesion molecule l1 - signalP detected	1
Putative MBW65275.1 putative piezo-type mechanosensitive ion channel component2 isoform x6 - signalP detected	1
Putative MBW65490.1 putative cubilin multiligand receptor mediating cobalamin absorptio	1
Putative MBW65527.1 putative pilin-like transcription factor	1
Putative MBW65920.1 putative microtubule-associated protein	1
Putative MBW66036.1 putative transcription factor nerf	1
Putative MBW66195.1 putative sugar transporter/spinster transmembrane protein	1
Putative MBW66256.1 putative heat shock transcription factor hsf	1
Putative MBW66301.1 putative extracellular matrix glycoprotein laminin subunit alphaand gamma	1
Putative MBW66427.1 putative zyg-1-like serine/threonine protein kinase	1
Putative MBW67216.1 putative spliceosomal protein fbp11/splicing factor prp40	1
Putative MBW67280.1 putative actin-binding protein coronin	1
Putative MBW67281.1 putative microtubule associated-protein orbit	1
Putative MBW67340.1 putative serine/threonine-protein kinase	1
Putative MBW67613.1 putative molecular chaperone dnaj superfamily	1
Putative MBW67846.1 putative alcohol dehydrogenase transcription factormyb/sant-like protein	1
Putative MBW67891.1 putative alpha-protein kinase 1	1
Putative MBW68055.1 putative serine/threonine-protein kinase nek3	1
Putative MBW68842.1 putative myosin class ii heavy chain	1
Putative MBW68972.1 putative transducin-like enhancer of split protein	1
Putative MBW69159.1 putative mitogen-activated protein kinase erk-a	1
Putative MBW69865.1 putative ca2+-binding actin-bundling protein	1
Putative MBW70263.1 putative hsp90 co-chaperone cpr7/cyclophilin	1
Putative MBW70319.1 putative runt-related transcription factor 2	1
Putative MBW70561.1 putative calcium/calmodulin-dependent serine protein kinase/membrane-associatedguanylate kinase	1
Putative MBW70657.1 putative lateral signaling target protein 2 - signalP detected	1
Putative MBW71270.1 putative titin isoform x2	1
Putative MBW78224.1 putative heparin sulfate cell surface proteoglycan - signalP detected	1
Putative MBW78958.1 putative corticosteroid 11-beta-dehydrogenase - signalP detected	1
Putative MBW79277.1 putative cystine transporter cystinosin - signalP detected	1
Putative MBW80340.1 putative myosin heavy chain striated muscle	1
Putative Member of the Rhodanese Homology Domainsuperfamily	1
Putative MER0021298 - family M2 unassigned peptidases (Anopheles gambiae	1
Putative MER0022540 - CG7432 protein ({Drosophila melanogaster}) (Anophelesgambiae)	1
Putative MER0167610 - family I63 unassigned peptidase inhibitors (Branchiostomafloridae)	1
Putative MER0183035 - family I63 unassigned peptidase inhibitors (Ochotonaprinceps)	1
Putative MER0205003 - family I43 unassigned peptidase inhibitors (Anophelesgambiae)	1
Putative MER0218084 - family I43 unassigned peptidase inhibitors (Drosophilasimulans)	1
Putative MER0278343 - family I63 unassigned peptidase inhibitors (Glossinamorsitans)	1
Putative MER0620956 - family I8 unassigned peptidase inhibitors (Acyrthosiphonpisum)	1
Putative MER0782975 - family I43 unassigned peptidase inhibitors (Psorophoraalbipes) - signalP detected	1
Putative MER0807980 - family I87 unassigned peptidase inhibitors (Anophelesgambiae)	1
Putative Methuselah-like subfamily B3	1
Putative MGS-like domain	1
Putative Mitochondrial ATP synthase epsilon chain	1
Putative Mitochondrial carrier protein	1
Putative Mitochondrial succinate-semialdehydedehydrogenase and ALDH family members 5A1 and 5F1-like	1
Putative MoaC family	1
Putative Mob1/phocein family	1
putative modified ring finger	1
Putative Mpv17 / PMP22 family	1
Putative Myb-Like Dna-Binding Domain of MTA3and related protein	1
putative nadph--cytochrome p450 reductase isoform x1 stephensi	1
Putative NBJ59832.1 putative hybrid signal transduction histidine kinase k-like protei	1
Putative NBJ60356.1 putative low-density lipoprotein receptor domain class a	1
Putative NLS-binding and DNA-binding and dimerizationdomains of Nrf1	1
Putative NMDA receptor-regulated protein 1	1
Putative NOPS domain	1
Putative NOT2 / NOT3 / NOT5 family	1
Putative N-terminal catalytic domain of the Serine/ThreonineKinase	1
Putative N-terminal of Homeobox Meis and PKNOX1	1
Putative N-terminal SNARE motif of SNAP25and SNAP23	1
Putative N-terminal Src homology 2	1
Putative N-terminal sub-domain of the Rel homologydomain	1
Putative Nucleoside 2-deoxyribosyltransferaselike	1
Putative Nucleotide-binding domain of human HYOU1and similar protein - signalP detected	1
Putative Numb Phosphotyrosine-binding	1
putative odorant binding protein antennal triannulatus	1
putative odorant-binding protein a10 stephensi	1
Putative Organic solute transporter Ostalpha	1
Putative OTU-like cysteine protease	1
Putative oxidoreductase GLYR1 homolog; AltName: Full=Glyoxylate reductase 1	1
Putative p63RhoGEF pleckstrin homology	1
Putative PAS domain	1
Putative PAXNEB protein	1
Putative PDZ domain	1
Putative Pellino	1
Putative Peptide chain release factor 1	1
Putative Peroxisomal acyl-CoA oxidase	1
Putative Peroxysomal Fatty Acyl CoA Transporter	1
Putative PHAT	1
Putative PHD finger found in	1
Putative Phosphate acyltransferases - signalP detected	1
Putative Phosphatidylinositol 3- and 4-kinase	1
Putative Phosphatidylinositol-4-phosphate 5-Kinase	1
Putative Phosphoglycerate mutase family	1
